keyword,count,percentage
rbi,13293,9.5
sensex,10834,7.74
covid,8797,6.29
ipo,6871,4.91
sebi,6164,4.41
rupee,5750,4.11
dollar,5456,3.9
inflation,4788,3.42
sbi,4154,2.97
war,4115,2.94
lt,3625,2.59
pharma,3106,2.22
reliance,3033,2.17
interest rate,2550,1.82
net profit,2211,1.58
pandemic,1979,1.41
infosys,1864,1.33
airtel,1845,1.32
hdfc bank,1813,1.3
tcs,1779,1.27
lockdown,1753,1.25
real estate,1659,1.19
airport,1642,1.17
tata motors,1621,1.16
maruti,1530,1.09
jio,1509,1.08
icici bank,1445,1.03
trade war,1397,1.0
healthcare,1397,1.0
infrastructure,1332,0.95
tariff,1329,0.95
corona,1281,0.92
crude oil,1260,0.9
merger,1244,0.89
itc,1231,0.88
liquidity,1221,0.87
cement,1208,0.86
q4 results,1185,0.85
fmcg,1168,0.83
axis bank,1093,0.78
q3 results,1055,0.75
import,1035,0.74
nbfc,1012,0.72
maruti suzuki,980,0.7
tata steel,973,0.7
monetary policy,960,0.69
pat,931,0.67
union budget,928,0.66
wipro,915,0.65
q1 results,890,0.64
